Sl. No.,Company Name,Finance_Year,Ownership Type,Incorporation Year,Sales-Total Revenue,DICOP -Direct Indirect Cost of Production,VAE-Value Added Expenditure,OP-Operating Profit,TC-Total Cost,GP-Gross Profit,Arms Length Price/Transfer Price Indicator,Other Operating Income/Sales,Advertising & Marketing Sales
1,20 Microns Ltd.,201403,Indian Private Sector,1987,290.96,145.75,130.24,14.97,275.99,145.21,5%,0.00%,31%
2,2020 Imaging India Ltd.,201403,Indian Private Sector,2005,0.66,0.71,0.51,-0.56,1.22,-0.05,-85%,0.00%,0%
3,21St Century Constructions Ltd.,201403,Indian Private Sector,1985,,,0.05,-0.05,0.05,,,,0%
4,3 F Industries Ltd.,201403,Indian Private Sector,1960,1125.62,904.24,184.60,36.78,1088.84,221.38,3%,0.00%,0%
5,3D P L M Software Solutions Ltd.,201403,Indian Private Sector,2001,308.56,0.28,241.81,66.47,242.09,308.28,22%,99.93%,0%
6,3I Infotech B P O Ltd.,201403,Indian Private Sector,1990,63.99,0.05,62.88,1.06,62.93,63.94,2%,99.91%,0%
7,3I Infotech Consultancy Services Ltd.,201403,Indian Private Sector,2007,62.04,0.34,59.49,2.21,59.83,61.70,4%,99.55%,0%
8,3I Infotech Ltd.,201403,Indian Private Sector,1993,408.44,2.33,539.88,-133.77,542.21,406.11,-33%,79.94%,1%
9,3I Infotech Trusteeship Services Ltd.,201403,Indian Private Sector,2001,2.11,,1.70,0.41,1.70,2.11,19%,100.00%,0%
10,3M India Ltd.,201403,Foreign Private Sector,1987,1750.84,1093.32,580.43,77.09,1673.75,657.52,4%,1.77%,11%
11,52 Weeks Entertainment Ltd.,201403,Indian Private Sector,1993,0.00,0.02,1.71,-1.73,1.73,-0.02,,,0%
12,7Seas Entertainment Ltd.,201403,Indian Private Sector,1991,1.73,0.03,5.73,-4.03,5.76,1.70,-233%,100.00%,3%
13,8K Miles Software Services Ltd.,201403,Indian Private Sector,1993,7.22,0.00,6.31,0.91,6.31,7.22,13%,100.00%,0%
14,A 2 Z Infra Engg. Ltd.,201403,Indian Private Sector,2002,336.35,214.03,232.34,-110.02,446.37,122.32,-33%,96.16%,1%
15,A 2 Z Infraservices Ltd.,201403,Indian Private Sector,2008,247.98,0.03,232.65,15.30,232.68,247.95,6%,99.63%,0%
16,A 2 Z Infrastructure Ltd.,201403,Indian Private Sector,2007,47.46,0.73,56.43,-9.70,57.16,46.73,-20%,80.11%,3%
17,A 2 Z Powercom Ltd.,201403,Indian Private Sector,2008,0.00,0.00,0.52,-0.52,0.52,0.00,,,0%
18,A 2 Z Powertech Ltd.,201403,Indian Private Sector,2008,1.10,0.63,0.33,0.14,0.96,0.47,13%,0.00%,0%
19,A 2 Z Waste Mgmt. (Jaipur) Pvt. Ltd.,201403,Indian Private Sector,2012,0.02,0.00,0.47,-0.45,0.47,0.02,-2250%,,300%
20,A 2 Z Waste Mgmt. (Merrut) Pvt. Ltd.,201403,Indian Private Sector,2009,0.39,,1.55,-1.16,1.55,0.39,-297%,0.00%,0%
21,A 2 Z Waste Mgmt. (Nainital) Pvt. Ltd.,201403,Indian Private Sector,2010,0.83,,0.89,-0.06,0.89,0.83,-7%,49.40%,7%
22,A A P Infrastructure Ltd.,201403,Indian Private Sector,2002,17.40,,9.70,7.70,9.70,17.40,44%,100.00%,0%
23,A B B Global Inds. & Services Pvt. Ltd.,201312,Foreign Private Sector,2001,572.15,7.10,467.07,97.98,474.17,565.05,17%,98.51%,0%
24,A B B India Ltd.,201312,Foreign Private Sector,1949,7721.99,5000.23,2343.58,378.18,7343.81,2721.76,5%,7.79%,3%
25,A B Bank Ltd.,201403,Foreign Private Sector,1996,21.84,,17.24,4.60,17.24,21.84,21%,,1%
26,A B C Bearings Ltd.,201403,Indian Private Sector,1961,146.28,81.03,54.75,10.50,135.78,65.25,7%,0.00%,12%
27,A B C Gas (International) Ltd.,201403,Indian Private Sector,1980,2.68,2.10,0.46,0.12,2.56,0.58,4%,0.00%,3%
28,A B C India Ltd.,201403,Indian Private Sector,1972,160.64,51.23,117.28,-7.87,168.51,109.41,-5%,69.12%,0%
29,A B Corp Ltd.,201309,Indian Private Sector,1988,21.22,5.10,8.14,7.98,13.24,16.12,38%,100.00%,2%
30,A B G Infralogistics Ltd.,201403,Indian Private Sector,1983,74.60,1.94,71.26,1.40,73.20,72.66,2%,99.69%,3%
31,A B G Kandla Container Terminal Ltd.,201403,Indian Private Sector,2006,5.44,0.21,18.63,-13.40,18.84,5.23,-246%,100.00%,0%
32,A B G Ports Ltd.,201403,Indian Private Sector,2008,0.10,,0.37,-0.27,0.37,0.10,-270%,100.00%,0%
33,A B G Shipyard Ltd.,201403,Indian Private Sector,1985,1623.90,203.64,1015.09,405.17,1218.73,1420.26,25%,0.68%,30%
34,A B G Turnkey Pvt. Ltd.,201403,Indian Private Sector,2009,,,,,,,,,0%
35,A B Hotels Ltd.,201403,Indian Private Sector,1990,99.25,2.00,92.47,4.78,94.47,97.25,5%,100.00%,22%
36,A B I-Showatech (India) Ltd.,201403,Indian Private Sector,1991,328.79,151.43,128.16,49.20,279.59,177.36,15%,23.36%,6%
37,A B M International Ltd.,201403,Indian Private Sector,1983,167.26,166.77,1.31,-0.82,168.08,0.49,0%,0.00%,0%
38,A B M Knowledgeware Ltd.,201403,Indian Private Sector,1993,74.18,0.68,52.99,20.51,53.67,73.50,28%,109.19%,1%
39,A B Medical Centres Ltd.,201403,Indian Private Sector,1974,-0.01,0.00,0.05,-0.06,0.05,-0.01,600%,0.00%,0%
40,A B N Intercorp Ltd.,201403,Indian Private Sector,2005,0.05,,0.10,-0.05,0.10,0.05,-100%,100.00%,0%
41,A B N L Investment Ltd.,201403,Indian Private Sector,1994,1.94,0.01,0.54,1.39,0.55,1.93,72%,,0%
42,A B N L It & I T E S Ltd.,201403,Indian Private Sector,2013,,0.65,0.03,-0.68,0.68,-0.65,,,0%
43,A B P Realty Advisors Pvt. Ltd.,201403,Indian Private Sector,2007,,,0.01,-0.01,0.01,,,,0%
44,A C C Ltd.,201312,Foreign Private Sector,1936,11041.62,2698.74,7355.92,986.96,10054.66,8342.88,9%,0.15%,47%
45,A C C Mineral Resources Ltd.,201312,Foreign Private Sector,1930,,0.00,0.06,-0.06,0.06,0.00,,,0%
46,A C E Derivatives & Commodity Exchange Ltd.,201403,Indian Private Sector,1956,1.23,0.57,19.71,-19.05,20.28,0.66,-1549%,,16%
47,A C E Designers Ltd.,201403,Indian Private Sector,1986,334.95,223.32,88.79,22.84,312.11,111.63,7%,0.04%,16%
